SZCZEPIENIA_SUMA,SZCZEPIENIA_DZIENNIE,DAWKA_2_SUMA,DAWKA_2_DZIENNIE,ODCZYNY_NIEPOZADANE,DAWKI_UTRACONE,SZCZEPIENIA_PLEC_NIEUSTALONO,SZCZEPIENIA_KOBIETY,SZCZEPIENIA_MEZCZYZNI,SZCZEPIENIA0_17,SZCZEPIENIA18_30,SZCZEPIENIA31_40,SZCZEPIENIA41_50,SZCZEPIENIA51_60,SZCZEPIENIA61_70,SZCZEPIENIA71_75,SZCZEPIENIA75_,SZCZEPIENIA_WIEK_NIEUSTALONO,STAN_MAGAZYN,LICZBA_DAWEK_PUNKTY,DAWKA_1_SUMA,SUMA_DAWEK_POLSKA,zamowienia_realizacja,date
0,1,0,0,7,5,3,220,253,2,47,43,20,18,59,59,59,151,None,None,0,None,None,2020-12-27
2155,2179,0,0,8,5,3,275,317,1,63,74,74,74,74,74,74,13,None,None,2155,None,None,2020-12-28
6423,4395,0,0,10,6,0,329,381,0,79,89,89,81,97,89,89,6,None,None,6423,None,None,2020-12-29
16300,10103,0,0,12,8,0,382,445,0,94,104,104,41,104,104,104,15,None,None,16300,None,None,2020-12-30
36320,20453,0,1,12,10,0,337,509,4,105,119,119,119,119,119,119,19,None,None,36320,None,None,2020-12-31
46204,10638,0,0,15,12,0,492,573,4,121,133,133,133,133,133,133,23,None,None,46204,None,None,2021-01-01
47002,1344,0,1,15,14,1,547,637,6,136,148,148,148,148,148,148,34,None,None,47002,None,None,2021-01-02
48731,2260,0,0,18,14,3,605,701,6,153,163,163,163,163,163,163,38,None,None,48731,None,None,2021-01-03
49117,653,0,0,18,16,3,660,765,8,166,178,178,178,178,178,178,45,None,None,49117,None,None,2021-01-04
88471,40799,0,1,20,16,3,715,829,8,183,193,193,193,193,193,193,46,None,None,88471,None,None,2021-01-05
141970,55528,0,2,20,17,4,768,893,10,193,208,208,208,208,208,208,48,None,None,141970,None,None,2021-01-06
159544,18796,0,0,22,19,5,825,957,12,213,223,223,223,223,223,223,56,None,None,159544,None,None,2021-01-07
188986,30450,0,0,25,20,6,880,1021,14,225,238,238,238,238,238,238,61,None,None,188986,None,None,2021-01-08
200003,11852,2,0,25,22,8,935,1085,16,242,252,252,252,252,252,252,69,None,None,200001,None,None,2021-01-09
201575,2255,3,0,27,24,9,990,1149,18,255,267,267,267,267,267,267,74,None,None,201572,None,None,2021-01-10
202348,997,5,2,29,26,9,1197,1297,19,302,312,274,289,312,312,312,76,None,None,202343,None,None,2021-01-11
249225,47709,8,3,30,26,13,1452,1345,21,341,354,295,300,319,350,330,76,None,None,249217,None,None,2021-01-12
311601,63591,237,0,50,786,48,224557,84619,193,40676,50523,74231,89165,43336,5950,5095,55,568365,483465,311364,1051830,None,2021-01-13
364486,55165,238,0,64,909,83,266318,98085,203,49933,60252,87488,103188,50516,6931,5883,92,559410,521220,364248,1080630,None,2021-01-14
410480,46669,239,1,91,1084,113,301103,109264,0,59185,68184,98086,114161,56130,7750,6643,341,559410,521220,410241,1080630,None,2021-01-15
436963,26302,240,0,122,1360,138,321124,115701,0,64575,72853,104031,120322,59391,8275,7139,377,559410,521220,436723,1080630,None,2021-01-16
457303,21049,256,17,131,1369,164,336138,121001,0,68169,76455,108698,125058,62303,8714,7496,410,559410,521220,457047,1080630,None,2021-01-17
469466,12100,671,419,133,1428,181,344944,124341,0,70638,78682,111417,127701,63836,8939,7811,442,433305,647325,468795,1080630,None,2021-01-18
495164,28500,3468,2941,164,1686,185,362311,132668,0,73446,82535,116694,133077,67676,9937,11337,462,548085,709215,491696,1257300,None,2021-01-19
541229,49571,11174,8165,195,1753,205,392091,148933,0,77162,88028,124503,142225,75264,12168,21369,510,499545,757755,530055,1257300,None,2021-01-20
591785,51272,24992,14432,235,1834,223,425237,166325,0,81223,94137,133138,152565,82814,14367,32986,555,467715,789585,566793,1257300,None,2021-01-21
644999,53352,39686,14861,283,1905,284,461186,183529,0,86104,101151,142975,163867,90654,16410,43196,642,467715,789585,605313,1257300,None,2021-01-22
684277,38334,45479,5267,361,1905,351,489134,194792,0,91658,107364,151064,172063,95926,17797,47662,743,43485,1213815,638798,1257300,None,2021-01-23
701164,16735,46980,1358,376,1905,440,500938,199786,0,94932,109930,154097,175193,98150,18569,49444,849,43485,1213815,654184,1257300,None,2021-01-24
